Date,Region,Product,Units Sold,Unit Price,Revenue,Profit,Year,Month,Quarter,Weekday,DayOfYear,Profit_Margin,Month_Year
2024-01-01,North,Tablet,87,264,22968,2697.02,2024,1,1,Monday,1,11.742511320097528,2024-01
2024-01-01,North,Keyboard,92,422,38824,10883.71,2024,1,1,Monday,1,28.033458685349267,2024-01
2024-01-01,North,Laptop,28,180,5040,535.12,2024,1,1,Monday,1,10.617460317460317,2024-01
2024-01-01,North,Mouse,6,393,2358,824.67,2024,1,1,Monday,1,34.973282442748086,2024-01
2024-01-01,South,Keyboard,93,610,56730,14604.14,2024,1,1,Monday,1,25.74323990833774,2024-01
2024-01-01,South,Smartphone,46,525,24150,9469.86,2024,1,1,Monday,1,39.21267080745342,2024-01
2024-01-01,South,Mouse,19,239,4541,577.53,2024,1,1,Monday,1,12.71812376128606,2024-01
2024-01-01,East,Tablet,55,696,38280,5786.3,2024,1,1,Monday,1,15.115726227795193,2024-01
2024-01-01,East,Mouse,43,323,13889,5342.62,2024,1,1,Monday,1,38.466556267549855,2024-01
2024-01-01,East,Laptop,64,63,4032,1381.04,2024,1,1,Monday,1,34.25198412698413,2024-01
2024-01-01,West,Laptop,75,477,35775,8891.99,2024,1,1,Monday,1,24.855317959468902,2024-01
2024-01-01,West,Keyboard,51,84,4284,1597.06,2024,1,1,Monday,1,37.27964519140989,2024-01
2024-01-02,North,Smartphone,67,451,30217,10048.36,2024,1,1,Tuesday,2,33.25399609491346,2024-01
2024-01-02,North,Laptop,38,251,9538,3514.26,2024,1,1,Tuesday,2,36.844831201509756,2024-01
2024-01-02,North,Monitor,18,912,16416,6181.65,2024,1,1,Tuesday,2,37.65625,2024-01
2024-01-02,South,Smartphone,86,928,79808,27822.76,2024,1,1,Tuesday,2,34.86211908580593,2024-01
2024-01-02,South,Keyboard,30,266,7980,1470.56,2024,1,1,Tuesday,2,18.428070175438595,2024-01
2024-01-02,South,Monitor,45,206,9270,3157.91,2024,1,1,Tuesday,2,34.06591154261057,2024-01
2024-01-02,East,Tablet,85,441,37485,11946.55,2024,1,1,Tuesday,2,31.870214752567694,2024-01
2024-01-02,East,Monitor,37,428,15836,1935.37,2024,1,1,Tuesday,2,12.221331144228339,2024-01
2024-01-02,West,Monitor,16,979,15664,2014.75,2024,1,1,Tuesday,2,12.86229570990807,2024-01
2024-01-02,West,Mouse,27,623,16821,3323.07,2024,1,1,Tuesday,2,19.755484216158376,2024-01
2024-01-02,West,Keyboard,48,921,44208,8064.27,2024,1,1,Tuesday,2,18.241653094462542,2024-01
2024-01-02,West,Smartphone,39,788,30732,4175.81,2024,1,1,Tuesday,2,13.58782376675778,2024-01
2024-01-03,North,Headphones,18,920,16560,1856.87,2024,1,1,Wednesday,3,11.21298309178744,2024-01
2024-01-03,North,Keyboard,83,64,5312,707.92,2024,1,1,Wednesday,3,13.326807228915664,2024-01
2024-01-03,North,Mouse,81,740,59940,6559.16,2024,1,1,Wednesday,3,10.942876209542876,2024-01
2024-01-03,South,Smartphone,27,280,7560,1686.75,2024,1,1,Wednesday,3,22.311507936507937,2024-01
2024-01-03,South,Mouse,47,590,27730,4676.37,2024,1,1,Wednesday,3,16.8639379733141,2024-01
2024-01-03,South,Tablet,36,888,31968,5975.63,2024,1,1,Wednesday,3,18.692536286286288,2024-01
2024-01-03,South,Keyboard,90,845,76050,28816.05,2024,1,1,Wednesday,3,37.89092702169625,2024-01
2024-01-03,East,Mouse,79,689,54431,18628.03,2024,1,1,Wednesday,3,34.223200014697504,2024-01
2024-01-03,East,Smartphone,96,522,50112,9791.94,2024,1,1,Wednesday,3,19.540110153256705,2024-01
2024-01-03,West,Monitor,81,794,64314,12311.91,2024,1,1,Wednesday,3,19.14343688776938,2024-01
2024-01-03,West,Headphones,74,505,37370,9724.68,2024,1,1,Wednesday,3,26.022691998929627,2024-01
2024-01-04,North,Headphones,36,657,23652,6325.27,2024,1,1,Thursday,4,26.74306612548622,2024-01
2024-01-04,North,Keyboard,56,162,9072,1083.81,2024,1,1,Thursday,4,11.946759259259258,2024-01
2024-01-04,North,Mouse,62,613,38006,6615.43,2024,1,1,Thursday,4,17.40627795611219,2024-01
2024-01-04,South,Keyboard,85,748,63580,17984.83,2024,1,1,Thursday,4,28.286929852154767,2024-01
2024-01-04,South,Mouse,6,269,1614,186.33,2024,1,1,Thursday,4,11.54460966542751,2024-01
2024-01-04,South,Headphones,5,452,2260,687.52,2024,1,1,Thursday,4,30.421238938053097,2024-01
2024-01-04,South,Monitor,57,733,41781,9790.75,2024,1,1,Thursday,4,23.43349848017041,2024-01
